Rank,TICK,TICK_LON,Company,Market,Volyme,Market Cam,marketcap,PRICE,VOLUME,volumeavg,high52,change,IF VOL > 5XAVG -> TRUE,IF VOL > 10XAVG -> TRUE
161,CLDN,LON:CLDN,Caledonia Investments,FTSE 250,"3,525.00","1,926.9",1900351728,3495,60788,37851,3700,0,FALSE,FALSE
163,GRI,LON:GRI,Grainger,FTSE 250,258.00,"1,904.3",2009620283,"271,5",243547,611354,"49,28","0,01",FALSE,FALSE
164,PNN,LON:PNN,Pennon Group,FTSE 250,664.50,"1,900.6",2088089080,729,554658,706696,"0,1",0,FALSE,FALSE
165,IWG,LON:IWG,IWG,FTSE 250,185.50,"1,867.4",2019369817,"200,4",217827,860049,205,"0,7",FALSE,FALSE
166,WWH,LON:WWH,Worldwide Healthcare Trust,FTSE 250,333.50,"1,844.9",1882239934,"349,96",427857,1302940,"355,57","0,51",FALSE,FALSE
167,FOUR,LON:FOUR,4imprint Group,FTSE 250,"6,440.00","1,814.3",1733130171,6140,6449,52251,"92,3","2,03",FALSE,FALSE
168,BPT,LON:BPT,Bridgepoint Group,FTSE 250,227.00,"1,802.2",1842466108,"232,2",80047,275224,"8,17",0,FALSE,FALSE
169,HVPE,LON:HVPE,Harbourvest Global Private Equity Ltd,FTSE 250,"2,305.00","1,781.8",1754107474,"2285,7",153585,131191,2450,"-4,18",FALSE,FALSE
170,TBCG,LON:TBCG,TBC Bank Group,FTSE 250,"3,210.00","1,778.1",1637255268,2965,68133,103901,3590,-90,FALSE,FALSE
171,JAM,LON:JAM,JPMorgan American Investment Trust,FTSE 250,971.00,"1,774.0",1801509442,"980,44",156299,288959,996,-1,FALSE,FALSE
172,MRC,LON:MRC,Mercantile Investment Trust,FTSE 250,223.50,"1,739.7",1840920929,"237,16",1144829,1452510,"14,02","-0,07",FALSE,FALSE
173,TEM,LON:TEM,Templeton Emerging Markets Investment Trust,FTSE 250,153.20,"1,714.4",1821137644,"164,49",889224,1479063,"164,8","0,8",FALSE,FALSE
174,PLUS,LON:PLUS,Plus500 Ltd,FTSE 250,"2,158.00","1,705.4",1734151531,2242,54207,208653,"83,57","0,44",FALSE,FALSE
